Site Name,Sub-site,Habitat Type ,Habitat Type Area (acres),Year post-completion,Year,Date Details,Metrics,Values,Units,Metric Groups,Metric Type,Collection Method,Data Collection Frequency,Restoration Goal Met? (Y/N),Metric Significance,Analyzed by who?,Notes
South San Diego Bay,Western Salt Pond 10,Salt Marsh,30,5,2016,,Vascular Plants - Nursery Grown,2%,Estimated Mean Coverage,Vegetative Growth and Health,Biological,Randomized Block,NA,Y,NA,SD,
South San Diego Bay,Western Salt Pond 10,Salt Marsh,30,5,2016,,Vascular Plants - Plugs,5%,Estimated Mean Coverage,Vegetative Growth and Health,Biological,Randomized Block,NA,Y,NA,SD,
South San Diego Bay,Western Salt Pond 10,Salt Marsh,30,5,2016,,Vascular Plants - Control,1%,Estimated Mean Coverage,Vegetative Growth and Health,Biological,Randomized Block,NA,Y,NA,SD,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Trees Planted-Arroyo Willow, Year 1",5,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Trees Planted-Coast Live Oak, Year 1",32,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Trees Planted-Fremont Cottonwood, Year 1",12,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Trees Planted-Narrowleaf Willow, Year 1",38,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Trees Planted-White Alder, Year 1",8,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Trees Planted-California Sycamore, Year 1",7,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Height-Arroyo Willow, Year 1",95,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Height-Coast Live Oak, Year 1",50,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Height-Fremont Cottonwood, Year 1",96,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Height-Narrowleaf Willow, Year 1",88,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Height-White Alder, Year 1",120,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Height-California Sycamore, Year 1",71,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean DBH-Arroyo Willow, Year 1",0.4,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean DBH-Coast Live Oak, Year 1",0.1,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean DBH-Fremont Cottonwood, Year 1",0.5,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean DBH-Narrowleaf Willow, Year 1",0.3,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean DBH-White Alder, Year 1",1.2,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean DBH-California Sycamore, Year 1",0.3,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Vigor-Arroyo Willow, Year 1",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Vigor-Coast Live Oak, Year 1",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Vigor-Fremont Cottonwood, Year 1",2,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Vigor-Narrowleaf Willow, Year 1",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Vigor-White Alder, Year 1",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,1,2018,Summer 2018,"Mean Vigor-California Sycamore, Year 1",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Arroyo Willow, Year 1",132,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Coast Live Oak, Year 1",72,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Fremont Cottonwood, Year 1",120,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Narrowleaf Willow, Year 1",108,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-White Alder, Year 1",188,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-California Sycamore, Year 1",112,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Arroyo Willow, Year 1",0.8,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Coast Live Oak, Year 1",0.4,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Fremont Cottonwood, Year 1",0.9,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Narrowleaf Willow, Year 1",0.5,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-White Alder, Year 1",2.4,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-California Sycamore, Year 1",1,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Arroyo Willow, Year 1",1.2,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Coast Live Oak, Year 1",1.2,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Fremont Cottonwood, Year 1",1.2,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Narrowleaf Willow, Year 1",1.2,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-White Alder, Year 1",1.2,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-California Sycamore, Year 1",1.2,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Trees Planted-Arroyo Willow, Year 2",3,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Trees Planted-Coast Live Oak, Year 2",22,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Trees Planted-Fremont Cottonwood, Year 2",4,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Trees Planted-Narrowleaf Willow, Year 2",4,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Trees Planted-White Alder, Year 2",4,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Trees Planted-California Sycamore, Year 2",5,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Trees Planted-Mesa Coast Live Oaks, Year 2",86,Individuals,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Arroyo Willow, Year 2",125,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Coast Live Oak, Year 2",48,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Fremont Cottonwood, Year 2",84,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Narrowleaf Willow, Year 2",76,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-White Alder, Year 2",116,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-California Sycamore, Year 2",82,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Height-Mesa Coast Live Oaks, Year 2",38,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Arroyo Willow, Year 2",0.6,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Coast Live Oak, Year 2",0.1,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Fremont Cottonwood, Year 2",0.4,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Narrowleaf Willow, Year 2",0.2,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-White Alder, Year 2",0.9,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-California Sycamore, Year 2",0.5,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean DBH-Mesa Coast Live Oaks, Year 2",0.05,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Arroyo Willow, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Coast Live Oak, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Fremont Cottonwood, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Narrowleaf Willow, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-White Alder, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-California Sycamore, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,2,2019,Summer 2019,"Mean Vigor-Mesa Coast Live Oaks, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Arroyo Willow, Year 1",157,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Coast Live Oak, Year 1",70,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Fremont Cottonwood, Year 1",130,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Narrowleaf Willow, Year 1",115,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-White Alder, Year 1",195,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-California Sycamore, Year 1",126,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Arroyo Willow, Year 1",1.5,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Coast Live Oak, Year 1",0.6,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Fremont Cottonwood, Year 1",1.2,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Narrowleaf Willow, Year 1",0.8,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-White Alder, Year 1",2.8,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-California Sycamore, Year 1",1.5,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Arroyo Willow, Year 1",1.1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Coast Live Oak, Year 1",1.1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Fremont Cottonwood, Year 1",1.1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Narrowleaf Willow, Year 1",1.1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-White Alder, Year 1",1.1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-California Sycamore, Year 1",1.1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Arroyo Willow, Year 2",125,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Coast Live Oak, Year 2",48,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Fremont Cottonwood, Year 2",84,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Narrowleaf Willow, Year 2",76,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-White Alder, Year 2",116,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-California Sycamore, Year 2",82,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Mesa Coast Live Oaks, Year 2",38,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Arroyo Willow, Year 2",0.6,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Coast Live Oak, Year 2",0.1,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Fremont Cottonwood, Year 2",0.4,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Narrowleaf Willow, Year 2",0.2,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-White Alder, Year 2",0.9,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-California Sycamore, Year 2",0.5,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Mesa Coast Live Oaks, Year 2",0.05,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Arroyo Willow, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Coast Live Oak, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Fremont Cottonwood, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Narrowleaf Willow, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-White Alder, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-California Sycamore, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Vigor-Mesa Coast Live Oaks, Year 2",1,Vigor Rating,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Trees Planted-Coast Live Oak, Year 3",29,Count,Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean Height-Mesa Coast Live Oaks, Year 3",42.7,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,3,2020,Summer 2020,"Mean DBH-Mesa Coast Live Oaks, Year 3",0.1,Inches (in.),Vegetative Growth and Health,Biological,Individual Trees,Annually,NA,NA,AS,
